Radius (km),Vorticity (10^-4 s^-1)
4.32034220532319,20.7830342577488
4.51996197718631,18.9559543230016
5.91730038022814,18.0424143556281
7.7138783269962,21.9249592169657
8.31273764258555,25.8075040783034
9.71007604562738,29.4616639477977
10.1093155893536,32.4306688417618
11.1074144486692,36.0848287112561
12.1055133079848,40.1957585644372
13.3032319391635,42.9363784665579
14.5009505703422,47.047308319739
13.5028517110266,48.6460032626427
15.0998098859316,50.4730831973899
15.898288973384,54.1272430668842
17.0960076045627,57.7814029363785
17.2956273764259,61.2071778140294
18.2937262357414,65.0897226753671
18.6929657794677,67.8303425774878
19.4914448669202,71.9412724306689
20.0903041825095,74.6818923327896
20.6891634980989,76.2805872756933
21.8868821292776,71.7128874388254
21.8868821292776,68.0587275693312
22.2861216730038,64.6329526916803
22.68536121673,58.4665579119087
23.2842205323194,52.5285481239804
22.8849809885932,49.3311582381729
23.6834600760456,44.7634584013051
24.282319391635,41.5660685154976
24.8811787072243,39.510603588907
25.8792775665399,42.4796084828711
27.0769961977186,41.1092985318108
27.4762357414449,39.2822185970636
28.0750950570342,34.7145187601958
28.4743346007605,30.6035889070147
30.0712927756654,25.57911908646
30.6701520912548,22.8384991843393
31.4686311787072,18.4991843393149
31.4686311787072,13.7030995106036
31.6682509505703,9.13539967373572
32.4667300380228,6.62316476345841
33.8640684410646,12.1044045676998
34.462927756654,15.9869494290375
35.0617870722433,18.4991843393149
35.8602661596958,12.3327895595432
38.0560836501901,8.67862969004894
39.653041825095,5.70962479608482
40.0522813688213,2.96900489396411
44.0446768060837,4.79608482871126
46.0408745247148,3.42577487765089
48.4363117870723,2.28384991843394
50.4325095057034,3.88254486133768
50.8317490494297,5.70962479608482
52.2290874524715,3.65415986949429
55.2233840304183,2.05546492659053
57.8184410646388,4.33931484502448
59.0161596958175,4.11092985318109
59.81463878327,5.93800978792824
61.611216730038,3.42577487765089
62.8089353612167,1.37030995106036
63.6074144486692,3.42577487765089
65.6036121673004,2.74061990212073
66.601711026616,1.59869494290375
67.2005703422053,6.39477977161502
69.995247148289,5.70962479608482
71.3925855513308,6.16639477977162
72.1910646387833,11.8760195758564
73.5884030418251,7.76508972267536
74.9857414448669,4.11092985318109
75.18536121673,3.19738988580751
76.5826996197719,5.48123980424144
78.578897338403,3.88254486133768
80.5750950570342,9.8205546492659
83.1701520912548,1.59869494290375
83.569391634981,8.67862969004894
84.1682509505704,15.073409461664
85.5655893536122,24.4371941272431
86.5636882129278,12.3327895595432
87.1625475285171,6.62316476345841
88.1606463878327,2.96900489396411
88.5598859315589,-0.913539967373566
90.356463878327,4.11092985318109
92.5522813688213,1.59869494290375
94.9477186311787,-0.228384991843399
97.3431558935361,4.11092985318109
99.9382129277567,7.99347471451875
101.535171102662,5.25285481239804
102.134030418251,8.90701468189234
104.329847908745,10.0489396411093
105.128326996198,5.25285481239806
105.727186311787,0.228384991843399
106.52566539924,-4.11092985318106
107.324144486692,2.8421709430404E-14
108.122623574144,2.28384991843396
109.12072243346,5.48123980424145
110.717680608365,1.82707993474716
112.31463878327,3.19738988580752
114.909695817491,1.59869494290376
115.708174904943,2.28384991843396
117.704372623574,4.56769983686789
120.698669201521,2.05546492659055
122.096007604563,5.25285481239806
123.293726235741,3.88254486133769
124.890684410646,4.56769983686789
128.084600760456,7.53670473083199
128.883079847909,0.913539967373595
130.480038022814,-4.11092985318106
131.877376425856,-7.53670473083197
132.076996197719,-2.7406199021207
133.673954372624,4.56769983686789
134.472433460076,10.0489396411093
